Number,Name,Type,Species,Height,Weight,Description,Abilities,Stats,Moves
11,Metapod,"Bug","Cocoon Pokémon","0.7m (2′04″)","9.9kg (21.8lbs)","This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.","Shed Skin","HP: 50; Attack: 20; Defense: 55; Sp. Atk: 25; Sp. Def: 25; Speed: 30; Total: 205","LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —"
12,Butterfree,"Bug, Flying","Butterfly Pokémon","1.1m (3′07″)","32.0kg (70.5lbs)","In battle, it flaps its wings at high speed to release highly toxic dust into the air.","Compound Eyes, Tinted Lens (hidden ability)","HP: 60; Attack: 45; Defense: 50; Sp. Atk: 90; Sp. Def: 80; Speed: 70; Total: 395","LVL: 1, Move: Bug Bite, Type: Bug, Power: 60, Accuracy: 100; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 8, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 12, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 12, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 12, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 16, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 20, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 24, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 28, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Bug Buzz, Type: Bug, Power: 90, Accuracy: 100; LVL: 36, Move: Tailwind, Type: Flying, Power: —, Accuracy: —; LVL: 40, Move: Rage Powder, Type: Bug, Power: —, Accuracy: —; LVL: 44, Move: Quiver Dance, Type: Bug, Power: —, Accuracy: —; LVL: 1, Move: Bug Bite, Type: Bug, Power: 60, Accuracy: 100; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 4, Move: Supersonic, Type: Normal, Power: —, Accuracy: 55; LVL: 8, Move: Confusion, Type: Psychic, Power: 50, Accuracy: 100; LVL: 12, Move: Poison Powder, Type: Poison, Power: —, Accuracy: 75; LVL: 12, Move: Sleep Powder, Type: Grass, Power: —, Accuracy: 75; LVL: 12, Move: Stun Spore, Type: Grass, Power: —, Accuracy: 75; LVL: 16, Move: Psybeam, Type: Psychic, Power: 65, Accuracy: 100; LVL: 20, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 24, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 28, Move: Safeguard, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Bug Buzz, Type: Bug, Power: 90, Accuracy: 100; LVL: 36, Move: Tailwind, Type: Flying, Power: —, Accuracy: —; LVL: 40, Move: Rage Powder, Type: Bug, Power: —, Accuracy: —; LVL: 44, Move: Quiver Dance, Type: Bug, Power: —, Accuracy: —"
13,Weedle,"Bug, Poison","Hairy Bug Pokémon","0.3m (1′00″)","3.2kg (7.1lbs)","Often found in forests, eating leaves. It has a sharp venomous stinger on its head.","Shield Dust, Run Away (hidden ability)","HP: 40; Attack: 35; Defense: 30; Sp. Atk: 20; Sp. Def: 20; Speed: 50; Total: 195","LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95; LVL: 9, Move: Bug Bite, Type: Bug, Power: 60, Accuracy: 100; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95"
14,Kakuna,"Bug, Poison","Cocoon Pokémon","0.6m (2′00″)","10.0kg (22.0lbs)","Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.","Shed Skin","HP: 45; Attack: 25; Defense: 50; Sp. Atk: 25; Sp. Def: 25; Speed: 35; Total: 205","LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —"
15,Beedrill,"Bug, Poison","Poison Bee Pokémon","1.0m (3′03″)","29.5kg (65.0lbs)","Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.","Swarm, Sniper (hidden ability)","HP: 65; Attack: 90; Defense: 40; Sp. Atk: 45; Sp. Def: 80; Speed: 75; Total: 395","LVL: 1, Move: Bug Bite, Type: Bug, Power: 60, Accuracy: 100; LVL: 1, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 1, Move: Harden, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 1, Move: String Shot, Type: Bug, Power: —, Accuracy: 95; LVL: 11, Move: Fury Cutter, Type: Bug, Power: 40, Accuracy: 95; LVL: 14, Move: Laser Focus, Type: Normal, Power: —, Accuracy: —; LVL: 17, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 20, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 23, Move: Venoshock, Type: Poison, Power: 65, Accuracy: 100; LVL: 26, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 29, Move: Toxic Spikes, Type: Poison, Power: —, Accuracy: —; LVL: 32, Move: Pin Missile, Type: Bug, Power: 25, Accuracy: 95; LVL: 35, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 38, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 41, Move: Endeavor, Type: Normal, Power: —, Accuracy: 100; LVL: 44, Move: Fell Stinger, Type: Bug, Power: 50, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Twineedle, Type: Bug, Power: 25, Accuracy: 100; LVL: 13, Move: Rage, Type: Normal, Power: 20, Accuracy: 100; LVL: 16, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 19, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 22, Move: Poison Jab, Type: Poison, Power: 80, Accuracy: 100; LVL: 25, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 28, Move: Pin Missile, Type: Bug, Power: 25, Accuracy: 95; LVL: 31, Move: Outrage, Type: Dragon, Power: 120, Accuracy: 100"
16,Pidgey,"Normal, Flying","Tiny Bird Pokémon","0.3m (1′00″)","1.8kg (4.0lbs)","A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.","Keen Eye, Tangled Feet, Big Pecks (hidden ability)","HP: 40; Attack: 45; Defense: 40; Sp. Atk: 35; Sp. Def: 35; Speed: 56; Total: 251","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 9, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 13, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 17, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 21, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 25, Move: Feather Dance, Type: Flying, Power: —, Accuracy: 100; LVL: 29, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 33, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 37, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 41, Move: Tailwind, Type: Flying, Power: —, Accuracy: —; LVL: 45, Move: Aerial Ace, Type: Flying, Power: 60, Accuracy: ∞; LVL: 49, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 53, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 3, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 5, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 9, Move: Mirror Move, Type: Flying, Power: —, Accuracy: —; LVL: 11, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 15, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 17, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 21, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 23, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 27, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 29, Move: Razor Wind, Type: Normal, Power: 80, Accuracy: 100"
17,Pidgeotto,"Normal, Flying","Bird Pokémon","1.1m (3′07″)","30.0kg (66.1lbs)","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.","Keen Eye, Tangled Feet, Big Pecks (hidden ability)","HP: 63; Attack: 60; Defense: 55; Sp. Atk: 50; Sp. Def: 50; Speed: 71; Total: 349","LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 9, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 13, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 17, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 22, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 27, Move: Feather Dance, Type: Flying, Power: —, Accuracy: 100; LVL: 32, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 37, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 42, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 47, Move: Tailwind, Type: Flying, Power: —, Accuracy: —; LVL: 52, Move: Aerial Ace, Type: Flying, Power: 60, Accuracy: ∞; LVL: 57, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 62, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 3, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 5, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 9, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Mirror Move, Type: Flying, Power: —, Accuracy: —; LVL: 15, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 17, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 25, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 31, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 39, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 45, Move: Razor Wind, Type: Normal, Power: 80, Accuracy: 100"
18,Pidgeot,"Normal, Flying","Bird Pokémon","1.5m (4′11″)","39.5kg (87.1lbs)","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","Keen Eye, Tangled Feet, Big Pecks (hidden ability)","HP: 83; Attack: 80; Defense: 75; Sp. Atk: 70; Sp. Def: 70; Speed: 101; Total: 479","LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 1, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 5, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 9, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 13, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 17, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 22, Move: Twister, Type: Dragon, Power: 40, Accuracy: 100; LVL: 27, Move: Feather Dance, Type: Flying, Power: —, Accuracy: 100; LVL: 32, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 38, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 44, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 50, Move: Tailwind, Type: Flying, Power: —, Accuracy: —; LVL: 56, Move: Aerial Ace, Type: Flying, Power: 60, Accuracy: ∞; LVL: 62, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 68, Move: Hurricane, Type: Flying, Power: 110, Accuracy: 70; LVL: 1, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 1, Move: Heat Wave, Type: Fire, Power: 95, Accuracy: 90; LVL: 1, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 1, Move: Sky Attack, Type: Flying, Power: 140, Accuracy: 90; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 3, Move: Sand Attack, Type: Ground, Power: —, Accuracy: 100; LVL: 5, Move: Gust, Type: Flying, Power: 40, Accuracy: 100; LVL: 9, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 11, Move: Mirror Move, Type: Flying, Power: —, Accuracy: —; LVL: 15, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 17, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 25, Move: Whirlwind, Type: Normal, Power: —, Accuracy: —; LVL: 31, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 43, Move: Air Slash, Type: Flying, Power: 75, Accuracy: 95; LVL: 53, Move: Razor Wind, Type: Normal, Power: 80, Accuracy: 100"
19,Rattata,"Normal","Mouse Pokémon","0.3m (1′00″)","3.5kg (7.7lbs)","Bites anything when it attacks. Small and very quick, it is a common sight in many places.","Run Away, Guts, Hustle (hidden ability)","HP: 30; Attack: 56; Defense: 35; Sp. Atk: 25; Sp. Def: 35; Speed: 72; Total: 253","LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 4, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 7, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 10, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 13, Move: Laser Focus, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 19, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 22, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 25, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 28, Move: Super Fang, Type: Normal, Power: —, Accuracy: 90; LVL: 31, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 34, Move: Endeavor, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 3, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 6, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 9, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Super Fang, Type: Normal, Power: —, Accuracy: 90; LVL: 18, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 21, Move: Hyper Fang, Type: Normal, Power: 80, Accuracy: 90; LVL: 24, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 27, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
20,Raticate,"Normal","Mouse Pokémon","0.7m (2′04″)","18.5kg (40.8lbs)","It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.","Run Away, Guts, Hustle (hidden ability)","HP: 55; Attack: 81; Defense: 60; Sp. Atk: 50; Sp. Def: 70; Speed: 97; Total: 413","LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Scary Face, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Swords Dance, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 4, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 7, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 10, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 13, Move: Laser Focus, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 19, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 24, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 29, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 34, Move: Super Fang, Type: Normal, Power: —, Accuracy: 90; LVL: 39, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100; LVL: 44, Move: Endeavor, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Counter, Type: Fighting, Power: —, Accuracy: 100; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Fury Swipes, Type: Normal, Power: 18, Accuracy: 80; LVL: 1, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Swords Dance, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Tackle, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 3, Move: Tail Whip, Type: Normal, Power: —, Accuracy: 100; LVL: 6, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 9, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 12, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 15, Move: Super Fang, Type: Normal, Power: —, Accuracy: 90; LVL: 18, Move: Crunch, Type: Dark, Power: 80, Accuracy: 100; LVL: 26, Move: Hyper Fang, Type: Normal, Power: 80, Accuracy: 90; LVL: 34, Move: Sucker Punch, Type: Dark, Power: 70, Accuracy: 100; LVL: 42, Move: Double-Edge, Type: Normal, Power: 120, Accuracy: 100"
21,Spearow,"Normal, Flying","Tiny Bird Pokémon","0.3m (1′00″)","2.0kg (4.4lbs)","Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.","Keen Eye, Sniper (hidden ability)","HP: 40; Attack: 60; Defense: 30; Sp. Atk: 31; Sp. Def: 31; Speed: 70; Total: 262","LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 4, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 11, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 15, Move: Aerial Ace, Type: Flying, Power: 60, Accuracy: ∞; LVL: 18, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 22, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 25, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 29, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 32, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 36, Move: Drill Peck, Type: Flying, Power: 80, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 3, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 11, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 19, Move: Mirror Move, Type: Flying, Power: —, Accuracy: —; LVL: 24, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 27, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 32, Move: Drill Peck, Type: Flying, Power: 80, Accuracy: 100"
22,Fearow,"Normal, Flying","Beak Pokémon","1.2m (3′11″)","38.0kg (83.8lbs)","With its huge and magnificent wings, it can keep aloft without ever having to land for rest.","Keen Eye, Sniper (hidden ability)","HP: 65; Attack: 90; Defense: 65; Sp. Atk: 61; Sp. Def: 61; Speed: 100; Total: 442","LVL: 1, Move: Drill Run, Type: Ground, Power: 80, Accuracy: 95; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Pluck, Type: Flying, Power: 60, Accuracy: 100; LVL: 4, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: Assurance, Type: Dark, Power: 60, Accuracy: 100; LVL: 11, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 15, Move: Aerial Ace, Type: Flying, Power: 60, Accuracy: ∞; LVL: 18, Move: Wing Attack, Type: Flying, Power: 60, Accuracy: 100; LVL: 23, Move: Take Down, Type: Normal, Power: 90, Accuracy: 85; LVL: 27, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 32, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 36, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 41, Move: Drill Peck, Type: Flying, Power: 80, Accuracy: 100; LVL: 45, Move: Drill Run, Type: Ground, Power: 80, Accuracy: 95; LVL: 1, Move: Drill Run, Type: Ground, Power: 80, Accuracy: 95; LVL: 1, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 1, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Peck, Type: Flying, Power: 35, Accuracy: 100; LVL: 1, Move: Quick Attack, Type: Normal, Power: 40, Accuracy: 100; LVL: 1, Move: Sky Attack, Type: Flying, Power: 140, Accuracy: 90; LVL: 3, Move: Growl, Type: Normal, Power: —, Accuracy: 100; LVL: 8, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 11, Move: Focus Energy, Type: Normal, Power: —, Accuracy: —; LVL: 16, Move: Fury Attack, Type: Normal, Power: 15, Accuracy: 85; LVL: 19, Move: Mirror Move, Type: Flying, Power: —, Accuracy: —; LVL: 29, Move: Roost, Type: Flying, Power: —, Accuracy: —; LVL: 37, Move: Agility, Type: Psychic, Power: —, Accuracy: —; LVL: 47, Move: Drill Peck, Type: Flying, Power: 80, Accuracy: 100"
23,Ekans,"Poison","Snake Pokémon","2.0m (6′07″)","6.9kg (15.2lbs)","Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.","Intimidate, Shed Skin, Unnerve (hidden ability)","HP: 35; Attack: 60; Defense: 44; Sp. Atk: 40; Sp. Def: 54; Speed: 55; Total: 288","LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 4, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 9, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 12, Move: Glare, Type: Normal, Power: —, Accuracy: 100; LVL: 17, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 20, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 25, Move: Spit Up, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 28, Move: Acid Spray, Type: Poison, Power: 40, Accuracy: 100; LVL: 33, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 36, Move: Gastro Acid, Type: Poison, Power: —, Accuracy: 100; LVL: 38, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 41, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 44, Move: Coil, Type: Poison, Power: —, Accuracy: —; LVL: 49, Move: Gunk Shot, Type: Poison, Power: 120, Accuracy: 80; LVL: 1, Move: Leer, Type: Normal, Power: —, Accuracy: 100; LVL: 1, Move: Wrap, Type: Normal, Power: 15, Accuracy: 90; LVL: 4, Move: Poison Sting, Type: Poison, Power: 15, Accuracy: 100; LVL: 9, Move: Bite, Type: Dark, Power: 60, Accuracy: 100; LVL: 12, Move: Glare, Type: Normal, Power: —, Accuracy: 100; LVL: 17, Move: Screech, Type: Normal, Power: —, Accuracy: 85; LVL: 20, Move: Acid, Type: Poison, Power: 40, Accuracy: 100; LVL: 25, Move: Spit Up, Type: Normal, Power: —, Accuracy: 100; LVL: 25, Move: Stockpile, Type: Normal, Power: —, Accuracy: —; LVL: 25, Move: Swallow, Type: Normal, Power: —, Accuracy: —; LVL: 28, Move: Acid Spray, Type: Poison, Power: 40, Accuracy: 100; LVL: 33, Move: Sludge Bomb, Type: Poison, Power: 90, Accuracy: 100; LVL: 36, Move: Gastro Acid, Type: Poison, Power: —, Accuracy: 100; LVL: 38, Move: Belch, Type: Poison, Power: 120, Accuracy: 90; LVL: 41, Move: Haze, Type: Ice, Power: —, Accuracy: —; LVL: 44, Move: Coil, Type: Poison, Power: —, Accuracy: —; LVL: 49, Move: Gunk Shot, Type: Poison, Power: 120, Accuracy: 80"
